Date,HomeTeam,AwayTeam
2025-07-27 14:13:59.450547,AIK,Djurgarden
2025-07-30 14:13:59.450547,Djurgarden,AIK
2025-08-02 14:13:59.450547,AIK,Hammarby
2025-08-05 14:13:59.450547,Hammarby,AIK
2025-08-08 14:13:59.450547,AIK,Malmo FF
2025-08-11 14:13:59.450547,Malmo FF,AIK
2025-08-14 14:13:59.450547,AIK,IFK Goteborg
2025-08-17 14:13:59.450547,IFK Goteborg,AIK
2025-08-20 14:13:59.450547,AIK,IFK Norrkoping
2025-08-23 14:13:59.450547,IFK Norrkoping,AIK
2025-08-26 14:13:59.450547,AIK,Helsingborg
2025-08-29 14:13:59.450547,Helsingborg,AIK
2025-09-01 14:13:59.450547,AIK,Elfsborg
2025-09-04 14:13:59.450547,Elfsborg,AIK
2025-09-07 14:13:59.450547,AIK,Kalmar FF
2025-09-10 14:13:59.450547,Kalmar FF,AIK
2025-09-13 14:13:59.450547,AIK,Orebro
2025-09-16 14:13:59.450547,Orebro,AIK
2025-09-19 14:13:59.450547,Djurgarden,Hammarby
2025-09-22 14:13:59.450547,Hammarby,Djurgarden
2025-09-25 14:13:59.450547,Djurgarden,Malmo FF
2025-09-28 14:13:59.450547,Malmo FF,Djurgarden
2025-10-01 14:13:59.450547,Djurgarden,IFK Goteborg
2025-10-04 14:13:59.450547,IFK Goteborg,Djurgarden
2025-10-07 14:13:59.450547,Djurgarden,IFK Norrkoping
2025-10-10 14:13:59.450547,IFK Norrkoping,Djurgarden
2025-10-13 14:13:59.450547,Djurgarden,Helsingborg
2025-10-16 14:13:59.450547,Helsingborg,Djurgarden
2025-10-19 14:13:59.450547,Djurgarden,Elfsborg
2025-10-22 14:13:59.450547,Elfsborg,Djurgarden
2025-10-25 14:13:59.450547,Djurgarden,Kalmar FF
2025-10-28 14:13:59.450547,Kalmar FF,Djurgarden
2025-10-31 14:13:59.450547,Djurgarden,Orebro
2025-11-03 14:13:59.450547,Orebro,Djurgarden
2025-11-06 14:13:59.450547,Hammarby,Malmo FF
2025-11-09 14:13:59.450547,Malmo FF,Hammarby
2025-11-12 14:13:59.450547,Hammarby,IFK Goteborg
2025-11-15 14:13:59.450547,IFK Goteborg,Hammarby
2025-11-18 14:13:59.450547,Hammarby,IFK Norrkoping
2025-11-21 14:13:59.450547,IFK Norrkoping,Hammarby
